,data,target
0,"Российские пивовары выступили против параллельного импорта алкоголя

Пивоваренная компания AB InBev Efes (бренды Hoegaarden, Stella Artois, Velkopopovickу Kozel) выступила против включения алкоголя в список параллельного импорта, так как это будет иметь негативные последствия и для потребителя, и для рынка в целом, сообщил РИА Новости исполняющий обязанности президента компании Ораз Дурдыев.

Ранее в четверг Ассоциация компаний розничной торговли (АКОРТ) направила письмо на имя вице-премьера РФ Дмитрия Григоренко с просьбой разрешить параллельный импорт ряда алкогольных брендов, в том числе Moet, Veuve Clicqout, Finlandia, Jack Daniel's, Hennessy. Заместить эти товары в ближайшее время не представляется возможным: на российском рынке нет аналогов и технологий, чтобы наладить их производство, отмечалось в письме, с которым ознакомилось агентство.",1
1,"Рубль наращивает темпы роста, евро уже дешевле 60 руб

Рубль днем в четверг усиливает рост: евро уже торгуется дешевле 60 рублей – на минимуме с 27 июля, доллар сползает в направлении 59 рублей, следует из данных Московской биржи.

Курс доллара расчетами ""завтра"" на 14.53 мск падал на 1,63 рубля, до 59,12 рубля, евро - на 1,76 рубля, до 59,91 рубля, следует из данных Московской биржи.",1
2,"Минсельхоз РФ не рассматривает продление запрета на экспорт подсолнечника - министерство

Минсельхоз РФ не рассматривает продление запрета на экспорт подсолнечника после 31 августа 2022 года и считает достаточным действие экспортной пошлины на эту продукцию, которая продлена до конца лета следующего года, сообщили РИА Новости в пресс-службе министерства.

""Минсельхоз не рассматривает продление запрета на вывоз семян подсолнечника после 31 августа. В настоящее время ведомство считает достаточным действие экспортной пошлины на эту продукцию в размере 50%, которая была продлена до 31 августа 2023 года"", - говорится в сообщении.",1
3,"Европейские покупатели норвежского газа считают, что Equinor пора снизить цены - СМИ

Европейские компании, занимающиеся закупками газа, начинают обсуждать, что Норвегии стоило бы снизить цены, по которым она продает им газ, передает газета Financial Times.

Как поясняется в материале, Норвегия получает сейчас огромные доходы при дорогом газе. Однако, ""не в интересах страны, чтобы ее соседи впали в глубокую рецессию"". С другой стороны, и сами европейские потребители, включая крупные нефтегазовые компании, задумываются над тем, как снизить свои издержки.",1
4,"""Ростелеком"" получил 2 госконтракта на эксплуатацию Национальной системы управления данными на сумму ₽390 млн

Читать далее
👉 https://smartlab.news/i/61684

#RTKM",1
5,"Юань впервые опередил доллар по объему торгов на Московской бирже

Читать далее
👉 https://smartlab.news/i/61683",1
6,"Рост цен на энергоносители — большое бремя для многих граждан, Германия временно снизит НДС на газ до 7% — Канцлер ФРГ Шольц

Читать далее
👉 https://smartlab.news/i/61682

#GAZP",1
7,🪨Цена на уголь достигла $413. С начала месяца рост на 14%.,1
8,"⚡️Риски дефолтов и банкротства компаний. Кого будут спасать?

Поговорим об этом сегодня в сервисе по подписке в рамках FINANCE RESCUE CAMP. 

Обсудим:

▪️Что такое дефолт и банкротство? Чем это грозит держателю ценных бумаг?
▪️Текущую ситуацию на рынке с точки зрения вероятности дефолтов по долговым инструментам.
▪️Наиболее безопасные, «тихие гавани» в период турбулентности на рынках, кто может получить поддержку в случае неприятностей.
▪️Опасные участки.
▪️Что делать, если дефолт или банкротство случилось?

❗️И конечно, ответим на ваши вопросы в эфире! 

🕕 Начало лекции в 18:30 (МСК).
Спикер – Георгий Аксенов.

Присоединяйтесь!

#FRC #облигации #дефолт

@bitkogan",0
9,"Правительство Германии снизило НДС на потребление газа до 7%. По словам канцлера ФРГ, в ближайшее время правительство примет новые меры поддержки граждан и предприятий в условиях энергетического кризиса. 

Решение снизить НДС на потребление газа было принято на фоне введения дополнительного коммунального сбора за электроэнергию. С 1 октября этого года жители Германии должны будут платить его в течение полутора лет (до конца марта 2024 года).
#экономика 

📷: Unsplash

@vedomosti",1
10,"🇷🇺#по #ос #россия 
Российская Astra Linux адаптировалась к смартфонам и планшетам - подробнее",0
11,"Параллельный импорт алкоголя может мешать российским виноделам - эксперт

Включение алкогольной продукции в перечень параллельного импорта - сложный вопрос, так как, с одной стороны, нужно дать шанс отечественным производителям, а эта мера может им мешать, с другой - обеспечить потребителей необходимым количеством продукции, сообщил РИА Новости глава Федерации рестораторов и отельеров РФ (ФРиО) Игорь Бухаров в кулуарах форума ""Дни ритейла на Балтике"".

Ранее Ассоциация компаний розничной торговли (АКОРТ) направила письмо на имя вице-премьера РФ Дмитрия Григоренко с просьбой разрешить параллельный импорт ряда алкогольных брендов, в том числе Moet, Veuve Clicqout, Finlandia, Jack Daniel's, Hennessy. Заместить эти товары в ближайшее время не представляется возможным: на российском рынке нет аналогов и технологий, чтобы наладить их производство, отмечалось в письме, с которым ознакомилось РИА Новости.",1
12,"МНЕНИЕ: Аналитики Альфа-Банка установили целевую цену акции Positive Technologies на уровне 1690 рублей. Рекомендация — «выше рынка»

Читать далее
👉 https://smartlab.news/i/61679

#POSI",1
13,"Газохранилища Германии заполнены почти на 78%, польские заполнены на 99%

Читать далее
👉 https://smartlab.news/i/61677",1
14,"МНЕНИЕ: Параллельный импорт не смог изменить в июле ситуацию на рынке легковых автомобилей - Промсвязьбанк

Читать далее
👉 https://smartlab.news/i/61675",0
